jd	rv	rverr	rvdiff	rvdifferr
1.511097565999999642e+04	2.464657888370667206e+04	1.486164927482604980e+00	6.006146818275738042e+00	1.933640927487571659e+00
1.517190372700011358e+04	2.463999860161906690e+04	1.262893080711364746e+00	5.885085932706715539e+00	1.735011989595513615e+00
1.518878474499983713e+04	2.466052353246737039e+04	1.346590638160705566e+00	7.459968083712738007e-01	1.761487939835954197e+00
1.523175903900014237e+04	2.463502125043701380e+04	1.200100302696228027e+00	7.281103351881029084e+00	1.608314991939332472e+00
1.525570994199998677e+04	2.465275156793021597e+04	1.136177659034729004e+00	4.288391009526094422e+00	1.525707524912627511e+00
1.525571056699985638e+04	2.465870905400183983e+04	1.224611759185791016e+00	3.729984041856369004e+00	1.676999480431239364e+00
1.526071454899990931e+04	2.465078903294686461e+04	1.214082837104797363e+00	1.266449552457197569e+01	1.603205741053652211e+00
1.526172056700009853e+04	2.465495261684336583e+04	1.678442716598510742e+00	3.673270834202412516e+00	2.148252890537498683e+00
1.542614420100022107e+04	2.462749739771837267e+04	1.004119157791137695e+00	3.484863014546135673e+00	1.388936700629001875e+00
1.542714747700002044e+04	2.462553666288801469e+04	1.018050074577331543e+00	9.133962018288002582e+00	1.363889721738418714e+00
1.543414679400017485e+04	2.464615739770830987e+04	9.314882755279541016e-01	1.139008431027104962e+01	1.233850265748201558e+00
1.543514571799989790e+04	2.464681500092547503e+04	9.376767277717590332e-01	1.598780769519726164e+01	1.308801304193681014e+00
1.543614393500005826e+04	2.463253005266775654e+04	1.015087127685546875e+00	1.544756667685578577e+01	1.390842196362370720e+00
1.543714855299983174e+04	2.463322097924178888e+04	1.124728441238403320e+00	2.445232210246467730e+01	1.489363089006240592e+00
1.543815013899980113e+04	2.462987341659406593e+04	8.996579647064208984e-01	1.504380885565842618e+01	1.231427736893689229e+00
1.543914763899985701e+04	2.462456881515313944e+04	9.566050171852111816e-01	1.757665513276515412e+01	1.292615863108113938e+00
1.543914815999986604e+04	2.462479205071798060e+04	8.590494990348815918e-01	1.764986424937524134e+01	1.175036555464428645e+00
1.543914869200019166e+04	2.462833003884887876e+04	1.001460313796997070e+00	1.411351116363948677e+01	1.346783700911891479e+00
1.544015012700017542e+04	2.461849330969835864e+04	1.054448366165161133e+00	1.853698798959521810e+01	1.403822630794954840e+00
1.544114849499985576e+04	2.462085783754110525e+04	9.887188673019409180e-01	1.327399209457144025e+01	1.337215733884164370e+00
1.545601335600018501e+04	2.464693902281853661e+04	1.193855524063110352e+00	5.611062982265138999e+00	1.579246860940054065e+00
1.546507043999992311e+04	2.463715981488724356e+04	1.104846239089965820e+00	8.155795516082434915e+00	1.497436659832468209e+00
1.546912459499994293e+04	2.464469918221649277e+04	1.084524631500244141e+00	1.182688507306738757e+01	1.464466115055394591e+00
1.548699949100008234e+04	2.463461283811779140e+04	1.266742587089538574e+00	0.000000000000000000e+00	1.706565506799312848e+00
1.550098187500005588e+04	2.464112532257358544e+04	1.091893434524536133e+00	6.351879257243126631e+00	1.451175941187052620e+00
1.552188820599997416e+04	2.462182753043173579e+04	1.078837990760803223e+00	4.382185929876868613e+00	1.476550477055637689e+00
1.554294697900023311e+04	2.463185533462362946e+04	1.236757516860961914e+00	7.158951827703276649e+00	1.683906402565937155e+00
1.561370483799977228e+04	2.465393448362179333e+04	1.069423317909240723e+00	1.340176722407341003e+01	1.480401178576427501e+00
1.579113829899998382e+04	2.465201698057519752e+04	9.614921212196350098e-01	1.154918121732043801e+01	1.276916887065550510e+00
1.579213400499988347e+04	2.463000596429359211e+04	1.019251823425292969e+00	1.102444771669615875e+01	1.426348924430066667e+00
1.579313785899989307e+04	2.462869498856312202e+04	9.452468156814575195e-01	9.590121616387477843e+00	1.273817460875839025e+00
1.579513964099995792e+04	2.463260883405047935e+04	9.780191183090209961e-01	8.759191326364089036e+00	1.317993665475158505e+00
1.579713722199993208e+04	2.463054341559082604e+04	8.325104713439941406e-01	1.225421091294992948e+01	1.124955931183244218e+00
1.579814080999977887e+04	2.463835026419353017e+04	9.235546588897705078e-01	1.277444552931410726e+01	1.258139479235392155e+00
1.580710971100023016e+04	2.463861982855166571e+04	1.037812352180480957e+00	8.162748337235825602e-01	1.399240613888066642e+00
1.580913465300016105e+04	2.464370153629900597e+04	1.056897282600402832e+00	1.384667961152081261e+01	1.447540625891991839e+00
1.587098515000008047e+04	2.465083553259674227e+04	1.298167467117309570e+00	3.245740499580278993e+00	1.744524574351731028e+00
1.590289679400017485e+04	2.464384468748504878e+04	1.366549015045166016e+00	2.259803197288420051e+00	1.868537355479170881e+00
1.590289854199998081e+04	2.464198031142813852e+04	1.385147452354431152e+00	8.040187823557062075e+00	1.870535716927106629e+00
1.590289950199984014e+04	2.463729903066021507e+04	1.394232988357543945e+00	9.863735577353509143e+00	1.877595617662173533e+00
1.596069892399990931e+04	2.464348332116115489e+04	1.558973670005798340e+00	1.714483892923453823e+00	2.017474547647703176e+00
1.613813078700006008e+04	2.463639002540411457e+04	1.013942241668701172e+00	8.002901616120652761e+00	1.364892781158487001e+00
1.614913228000001982e+04	2.464951777317892993e+04	1.270818948745727539e+00	3.102866841836657841e+00	1.698133161769233901e+00
1.614913280100002885e+04	2.463697391848613915e+04	9.136016368865966797e-01	9.815338489090208896e+00	1.238279408054406616e+00
1.614913333299988881e+04	2.464013609177562830e+04	8.669446110725402832e-01	7.031619770135876024e+00	1.198180066700308188e+00
1.617312961799977347e+04	2.463828857435211830e+04	1.180322766304016113e+00	9.490396348599460907e+00	1.568192037114213511e+00
1.620299350700015202e+04	2.466400642719427196e+04	1.267874836921691895e+00	8.377195153654611204e+00	1.729794565796356043e+00
1.620299422500003129e+04	2.466556206805519105e+04	1.329710841178894043e+00	7.303461443359992700e+00	1.740219987434782123e+00
1.620299497700016946e+04	2.466114055906379508e+04	1.212857604026794434e+00	1.420066000496808556e+01	1.621811412010882858e+00
1.632770149300014600e+04	2.467978532166930381e+04	1.285563707351684570e+00	-1.675220903009176254e+00	1.685648895912378320e+00
1.634370377299981192e+04	2.466319374193419935e+04	1.132253766059875488e+00	2.595719888777239248e+00	1.532676154650914668e+00
1.653011636599991471e+04	2.464998521776750204e+04	1.072076439857482910e+00	1.033475512649965822e+01	1.446617996591158972e+00
1.653212074099993333e+04	2.465535854849088719e+04	9.725701212882995605e-01	1.136114830468432046e+01	1.307142476327145308e+00
1.658796187500003725e+04	2.465819494891397335e+04	1.235417485237121582e+00	5.129273376856872346e+00	1.645689205916953890e+00
1.661390524300001562e+04	2.465128709447768051e+04	1.144096374511718750e+00	9.213714966550469398e+00	1.549088694773489205e+00
1.663781061299983412e+04	2.466008541885876912e+04	1.182478308677673340e+00	1.072315880103269592e+01	1.610424239556000892e+00
1.663878690999979153e+04	2.466999610940302955e+04	1.237269997596740723e+00	7.625745152239687741e+00	1.650582681643386840e+00
1.667480420099990442e+04	2.466962585850516916e+04	1.210845470428466797e+00	4.122613940999144688e+00	1.647100563200291967e+00
1.670878372700000182e+04	2.466147252777274116e+04	1.001335740089416504e+00	-6.469668226985959336e+00	1.346098251027517678e+00
1.688413062500022352e+04	2.465797975676407805e+04	1.210289716720581055e+00	5.216797125209268415e+00	1.565044456207152601e+00
1.688914604200003669e+04	2.465929656330632861e+04	8.800280094146728516e-01	1.797890480525893508e+01	1.178094980991460927e+00
1.689014620399987325e+04	2.465783602285657253e+04	9.789456725120544434e-01	1.090359132586308988e+01	1.282344732966364198e+00
1.689413881900021806e+04	2.464588976334991821e+04	9.029070734977722168e-01	1.414162919027148746e+01	1.219148734624519781e+00
1.689610997699992731e+04	2.465623148557160312e+04	9.818891286849975586e-01	1.171700323323602788e+01	1.278029996891486331e+00
1.691101976899988949e+04	2.465340992259388804e+04	1.125299692153930664e+00	1.147188220592579455e+01	1.510258719554460338e+00
1.691102031299984083e+04	2.465564161715800219e+04	1.236762404441833496e+00	7.760302690592652652e+00	1.673686940936655265e+00
1.691102086800010875e+04	2.465956449725238781e+04	1.186358690261840820e+00	8.949098774108279031e+00	1.555946630511377604e+00
1.723413935199985281e+04	2.464873528684559278e+04	9.136894941329956055e-01	1.767332150007860037e+01	1.242945665331194549e+00
1.724113738400023431e+04	2.464416678335662436e+04	1.001890778541564941e+00	1.292188623623223975e+01	1.346178161193497980e+00
1.724113791699986905e+04	2.464226933096525681e+04	1.020346641540527344e+00	1.440774501080159098e+01	1.373315905732984010e+00
1.724113846099982038e+04	2.464645161302843189e+04	8.676342368125915527e-01	1.242619098856448545e+01	1.182236293639850055e+00
1.724314320599986240e+04	2.464399248247961077e+04	8.911446928977966309e-01	1.848223452319143689e+01	1.235915390616433518e+00
1.724514538200013340e+04	2.464472163326001100e+04	9.014373421669006348e-01	1.273075182005050010e+01	1.237064100410872003e+00
1.724614239600021392e+04	2.464195781018866910e+04	1.207380652427673340e+00	1.896143386190306046e+01	1.608979519966969862e+00
1.724714666699990630e+04	2.463726704455715662e+04	9.327280521392822266e-01	1.125089155782916350e+01	1.285084124914553483e+00
1.725414817100018263e+04	2.464651336801444268e+04	9.168009757995605469e-01	1.392200184043758782e+01	1.210496953783584795e+00
1.725515163200022653e+04	2.464747033291546904e+04	8.876192569732666016e-01	1.334757611820168677e+01	1.208578596399277227e+00
1.725615078700007871e+04	2.464298108190996936e+04	8.934052586555480957e-01	1.221603856164801982e+01	1.227546537009150063e+00
1.729104328700015321e+04	2.465360726729912130e+04	1.037781596183776855e+00	4.467255741357803345e+00	1.440891938067480060e+00
1.732697811299981549e+04	2.465398880304937484e+04	1.328197360038757324e+00	7.470874469800037332e+00	1.761480528229429687e+00
1.735387668999982998e+04	2.463495686455305258e+04	1.258767247200012207e+00	6.655076790470047854e+00	1.729962739447957309e+00
1.737878618100006133e+04	2.464878977055381984e+04	1.292351722717285156e+00	-6.543831652379594743e-01	1.742354478224706016e+00
1.738477806700021029e+04	2.466289280878874706e+04	1.323999524116516113e+00	1.404742528044153005e+00	1.754988203826460813e+00
1.740174894700013101e+04	2.465855872455256758e+04	1.251228332519531250e+00	1.762471991707570851e+00	1.652820194544575960e+00
1.767299050900014117e+04	2.464662659608726972e+04	1.404761433601379395e+00	1.103071888869453687e+01	1.806919012821583292e+00
1.767897506899992004e+04	2.463234266200966522e+04	1.226709246635437012e+00	-3.250103054015198722e-01	1.629360567810612448e+00
1.770395521999988705e+04	2.462733204554232361e+04	1.812657237052917480e+00	1.721027724575833417e+00	2.313894058680278754e+00
1.770395574099989608e+04	2.463633762137070880e+04	1.354116320610046387e+00	-6.914648779347771779e+00	1.776341654190523700e+00
1.770395629600016400e+04	2.463133818678493844e+04	1.174617767333984375e+00	0.000000000000000000e+00	1.576985498898777927e+00
1.771298786999983713e+04	2.463473096242921019e+04	1.242972016334533691e+00	5.597157340002013370e+00	1.688518233483997211e+00
1.778974972200021148e+04	2.463154112172411988e+04	1.290170907974243164e+00	8.790547186363255605e+00	1.766960781682331172e+00
1.779073693299992010e+04	2.464006507638070616e+04	1.173547625541687012e+00	5.889448487141635269e-01	1.588270356516754855e+00
1.780370514999981970e+04	2.464489150701262406e+04	1.283586859703063965e+00	2.368867058161413297e+00	1.704488733140651302e+00
1.780470834500016645e+04	2.465352835528468131e+04	1.291592836380004883e+00	1.012112628901377320e+00	1.776938919529863936e+00
1.780679335599998012e+04	2.464198261598791578e+04	1.245850920677185059e+00	-2.517193908948684111e+00	1.696308448393933910e+00
1.782875759299984202e+04	2.463062453403515974e+04	1.334656953811645508e+00	7.110963728919159621e+00	1.747909112374200991e+00
1.782972190999984741e+04	2.462486346572908224e+04	1.202709436416625977e+00	3.860860674903960899e+00	1.596460216193382076e+00
1.783072302100015804e+04	2.463118338339531329e+04	1.368631482124328613e+00	1.197957447828957811e+01	1.820982947300099131e+00
1.800015152799990028e+04	2.463554833482571121e+04	9.707704186439514160e-01	5.747460973267152440e+00	1.281137569543697285e+00
1.800114962999988347e+04	2.463521023235950634e+04	1.072973847389221191e+00	1.481025882233734592e+01	1.429374657415991345e+00
1.800314906200021505e+04	2.462708289305071230e+04	9.564812183380126953e-01	1.375186221747571835e+01	1.304845403039433416e+00
1.802993422499997541e+04	2.463933764793774390e+04	1.141873359680175781e+00	8.553878608268860262e+00	1.535334334112793186e+00
1.806589894700003788e+04	2.463037832073285244e+04	1.454998612403869629e+00	1.404960655765898991e+01	1.939555673173561257e+00
1.809190487299999222e+04	2.463264057347405469e+04	1.416043639183044434e+00	1.101544994817231782e+00	1.897552097180503772e+00
