jd	rv	rverr
1.511097565999999642e+04	2.464777531426044879e+04	1.378873825073242188e+00
1.517190372700011358e+04	2.464503298943696427e+04	1.231180310249328613e+00
1.518878474499983713e+04	2.466383907383790938e+04	1.168878912925720215e+00
1.523175903900014237e+04	2.463950595639611129e+04	1.111153244972229004e+00
1.525570994199998677e+04	2.465636812555676443e+04	1.093005061149597168e+00
1.525571056699985638e+04	2.466011815908431890e+04	1.151774048805236816e+00
1.526071454899990931e+04	2.466110211163101485e+04	1.169473171234130859e+00
1.526172056700009853e+04	2.465358713730523596e+04	1.453808307647705078e+00
1.542614420100022107e+04	2.462996414959166577e+04	9.629308581352233887e-01
1.542714747700002044e+04	2.463343043247835158e+04	9.352812767028808594e-01
1.543414679400017485e+04	2.465107938158459365e+04	8.207989335060119629e-01
1.543514571799989790e+04	2.465241389647075994e+04	9.089508056640625000e-01
1.543614393500005826e+04	2.464246389585817815e+04	9.633067250251770020e-01
1.543714855299983174e+04	2.465059234721830217e+04	1.012305974960327148e+00
1.543815013899980113e+04	2.463699639012860280e+04	8.548741340637207031e-01
1.543914763899985701e+04	2.463521758473250520e+04	8.998433351516723633e-01
1.543914815999986604e+04	2.463044932099067591e+04	8.184531331062316895e-01
1.543914869200019166e+04	2.463643296821458716e+04	9.241837263107299805e-01
1.544015012700017542e+04	2.462716538626584952e+04	9.259220957756042480e-01
1.544114849499985576e+04	2.462943683491983029e+04	9.152945876121520996e-01
1.545601335600018501e+04	2.465009478563289667e+04	1.075308680534362793e+00
1.546507043999992311e+04	2.464127370371937286e+04	9.727680683135986328e-01
1.546912459499994293e+04	2.464863147972026854e+04	9.741955399513244629e-01
1.548699949100008234e+04	2.463546571750981821e+04	1.181666493415832520e+00
1.550098187500005588e+04	2.464452157120117045e+04	9.851173162460327148e-01
1.552188820599997416e+04	2.462389101867945283e+04	1.054700374603271484e+00
1.554294697900023311e+04	2.463813305045547895e+04	1.165802001953125000e+00
1.561370483799977228e+04	2.466589224532790831e+04	1.046949982643127441e+00
1.579113829899998382e+04	2.465836422461835537e+04	8.796317577362060547e-01
1.579213400499988347e+04	2.463262513291245705e+04	9.950640797615051270e-01
1.579313785899989307e+04	2.463523663893828416e+04	8.836614489555358887e-01
1.579513964099995792e+04	2.463642736431438243e+04	9.257028102874755859e-01
1.579713722199993208e+04	2.464224385475019517e+04	7.874657511711120605e-01
1.579814080999977887e+04	2.464575910859245778e+04	8.678995966911315918e-01
1.580710971100023016e+04	2.464194804859603391e+04	9.625917673110961914e-01
1.580913465300016105e+04	2.465303256308090931e+04	1.019818067550659180e+00
1.587098515000008047e+04	2.465242132113383559e+04	1.225158691406250000e+00
1.590289679400017485e+04	2.464433329358175979e+04	1.339957356452941895e+00
1.590289854199998081e+04	2.464584117210304248e+04	1.318510532379150391e+00
1.590289950199984014e+04	2.464632951834049891e+04	1.326176166534423828e+00
1.596069892399990931e+04	2.464402427791108494e+04	1.403367757797241211e+00
1.613813078700006008e+04	2.463761351742836996e+04	9.489913582801818848e-01
1.614913228000001982e+04	2.465318913539556524e+04	1.184364557266235352e+00
1.614913280100002885e+04	2.463970337793431099e+04	8.588564991950988770e-01
1.614913333299988881e+04	2.464361372930939251e+04	8.218972682952880859e-01
1.617312961799977347e+04	2.464556824624082219e+04	1.071684479713439941e+00
1.620299350700015202e+04	2.467156073551763984e+04	1.183844685554504395e+00
1.620299422500003129e+04	2.466863221573876581e+04	1.228311538696289062e+00
1.620299497700016946e+04	2.466956574231623381e+04	1.120658755302429199e+00
1.632770149300014600e+04	2.467978532166930381e+04	1.179706335067749023e+00
1.634370377299981192e+04	2.466412296602883725e+04	1.083404183387756348e+00
1.653011636599991471e+04	2.465887385426373658e+04	9.884694218635559082e-01
1.653212074099993333e+04	2.465892827682217467e+04	9.153922796249389648e-01
1.658796187500003725e+04	2.465783067561865755e+04	1.154033422470092773e+00
1.661390524300001562e+04	2.465582196981277957e+04	1.074725151062011719e+00
1.663781061299983412e+04	2.466624970827531070e+04	1.192494630813598633e+00
1.663878690999979153e+04	2.467080318197348970e+04	1.124791026115417480e+00
1.667480420099990442e+04	2.466964767127734376e+04	1.181487798690795898e+00
1.670878372700000182e+04	2.465820497450098628e+04	9.451577663421630859e-01
1.688413062500022352e+04	2.465892397713958781e+04	1.103649139404296875e+00
1.688914604200003669e+04	2.466883501591862660e+04	8.340027332305908203e-01
1.689014620399987325e+04	2.466582992670416934e+04	8.879029750823974609e-01
1.689413881900021806e+04	2.465502290738925149e+04	8.544123172760009766e-01
1.689610997699992731e+04	2.466228616580796734e+04	8.613250851631164551e-01
1.691101976899988949e+04	2.465693650253521628e+04	1.084872722625732422e+00
1.691102031299984083e+04	2.465596362820723152e+04	1.168228030204772949e+00
1.691102086800010875e+04	2.467035432133837821e+04	1.098639726638793945e+00
1.723413935199985281e+04	2.465656389077905624e+04	8.521286845207214355e-01
1.724113738400023431e+04	2.464870588491633316e+04	9.525541663169860840e-01
1.724113791699986905e+04	2.464733548363263253e+04	9.544107317924499512e-01
1.724113846099982038e+04	2.465104292891153091e+04	8.243023753166198730e-01
1.724314320599986240e+04	2.465218849529439103e+04	8.773804306983947754e-01
1.724514538200013340e+04	2.465146846002343955e+04	8.749247789382934570e-01
1.724614239600021392e+04	2.464802748670590518e+04	1.103195309638977051e+00
1.724714666699990630e+04	2.463979569017149697e+04	9.083424806594848633e-01
1.725414817100018263e+04	2.465673810497128579e+04	8.321856856346130371e-01
1.725515163200022653e+04	2.465342365192613579e+04	8.593580126762390137e-01
1.725615078700007871e+04	2.465151369306536799e+04	8.650967478752136230e-01
1.729104328700015321e+04	2.465883851538589442e+04	9.816125035285949707e-01
1.732697811299981549e+04	2.465779949434827722e+04	1.242850065231323242e+00
1.735387668999982998e+04	2.463931941898797231e+04	1.246681809425354004e+00
1.737878618100006133e+04	2.465378489538180293e+04	1.136233568191528320e+00
1.738477806700021029e+04	2.466289280878874706e+04	1.210575819015502930e+00
1.740174894700013101e+04	2.466114135677804006e+04	1.183559536933898926e+00
1.767299050900014117e+04	2.464952660414788261e+04	1.252574682235717773e+00
1.767897506899992004e+04	2.463054201766665210e+04	1.115668416023254395e+00
1.770395521999988705e+04	2.463041855280502932e+04	1.563034892082214355e+00
1.770395574099989608e+04	2.462854609914994217e+04	1.220916628837585449e+00
1.770395629600016400e+04	2.463009049621655140e+04	1.079583168029785156e+00
1.771298786999983713e+04	2.463777384414756671e+04	1.156188726425170898e+00
1.778974972200021148e+04	2.463746547064674087e+04	1.215357542037963867e+00
