jd	rv	rverr
1.222010565999988467e+04	5.965006612838937144e+03	2.733896970748901367e+00
1.223596666700020432e+04	5.948865208443588926e+03	2.574329376220703125e+00
1.223790321800019592e+04	5.949142767521872884e+03	2.362967729568481445e+00
1.223890817099995911e+04	5.968144884572393494e+03	2.215805292129516602e+00
1.224300268500018865e+04	5.955819247531020665e+03	2.636232376098632812e+00
1.230785856499988586e+04	6.070864839203204610e+03	2.816843986511230469e+00
1.233481468700012192e+04	6.137733687756437575e+03	2.517088413238525391e+00
1.253613091399986297e+04	5.982024002014557482e+03	2.384204626083374023e+00
1.253709064800012857e+04	5.976338345429729088e+03	2.630235671997070312e+00
1.253804892400000244e+04	5.988465621218638262e+03	2.755662441253662109e+00
1.257306518500018865e+04	6.080959514560614480e+03	2.432260274887084961e+00
1.257400208299979568e+04	6.066887349645716313e+03	2.185974359512329102e+00
1.257500512700015679e+04	6.104113361687326687e+03	2.320010662078857422e+00
1.260100292799994349e+04	6.222471083570573683e+03	2.414002418518066406e+00
1.260204458299977705e+04	6.186722452717371198e+03	2.098355293273925781e+00
1.265187018499989063e+04	6.139351972317905165e+03	2.236741065979003906e+00
1.271175175900012255e+04	5.980271515524378628e+03	3.025654077529907227e+00
1.271280894700018689e+04	5.998536994378271629e+03	2.825875520706176758e+00
1.292504451399995014e+04	6.082348122864001198e+03	2.354408264160156250e+00
1.307182591400016099e+04	5.991157305627653841e+03	2.285774946212768555e+00
1.330301804400002584e+04	6.099988689126439567e+03	2.216101169586181641e+00
1.333885441000014544e+04	5.911054462545624119e+03	2.801417827606201172e+00
1.334010457199998200e+04	5.946581011729680540e+03	3.007913589477539062e+00
1.336889458299987018e+04	6.007108615819815896e+03	2.907740831375122070e+00
1.374701027800003067e+04	5.955041126698080916e+03	2.907117128372192383e+00
1.511103549800021574e+04	6.062455771962282597e+03	4.007312774658203125e+00
1.544012813699990511e+04	6.059902554267318919e+03	2.643197774887084961e+00
1.552304341399995610e+04	6.102060732267633284e+03	3.350625991821289062e+00
1.599486752300010994e+04	5.914670391115898383e+03	4.539583683013916016e+00
1.616512660899991170e+04	6.111764913786319084e+03	2.895744085311889648e+00
1.658515415500011295e+04	6.244579673841406475e+03	2.917263984680175781e+00
1.658805866899993271e+04	6.273819796890427824e+03	2.897058725357055664e+00
1.663990262700011954e+04	6.040887291196010665e+03	3.289924144744873047e+00
1.690914974500006065e+04	6.222585384802339831e+03	2.937612295150756836e+00
1.729114800899988040e+04	6.113558662031631684e+03	3.184714794158935547e+00
1.729414707199996337e+04	6.091585623904946260e+03	2.633298158645629883e+00
1.765214472200023010e+04	6.301147005912614986e+03	3.283971548080444336e+00
1.776586233799997717e+04	5.923278201420587720e+03	2.919828891754150391e+00
1.802915508100017905e+04	6.082667964687017957e+03	3.590929985046386719e+00
