jd	rv	rverr
1.222010565999988467e+04	5.959258947370930400e+03	2.412757635116577148e+00
1.223596666700020432e+04	5.954697398403772240e+03	2.291927814483642578e+00
1.223790321800019592e+04	5.961017095374420023e+03	2.100471973419189453e+00
1.223890817099995911e+04	5.960791799072336289e+03	2.030868530273437500e+00
1.224300268500018865e+04	5.955819247531020665e+03	2.264988660812377930e+00
1.230785856499988586e+04	6.070574729333282448e+03	2.333855867385864258e+00
1.233481468700012192e+04	6.137173099511550390e+03	2.184507131576538086e+00
1.253613091399986297e+04	5.970478501702542417e+03	2.035331964492797852e+00
1.253709064800012857e+04	5.977860876927516074e+03	2.360608339309692383e+00
1.253804892400000244e+04	5.990858482326191734e+03	2.256773233413696289e+00
1.257306518500018865e+04	6.083994761808709882e+03	2.053453445434570312e+00
1.257400208299979568e+04	6.067783854582092317e+03	2.037448406219482422e+00
1.257500512700015679e+04	6.091593921097715793e+03	2.019822120666503906e+00
1.260100292799994349e+04	6.215008934209643485e+03	2.209229230880737305e+00
1.260204458299977705e+04	6.179753272007586929e+03	1.973058462142944336e+00
1.265187018499989063e+04	6.125857500812089711e+03	2.030249118804931641e+00
1.271175175900012255e+04	5.956805335218945402e+03	2.615570068359375000e+00
1.271280894700018689e+04	5.996244472022721311e+03	2.461632251739501953e+00
1.292504451399995014e+04	6.100945692420064006e+03	2.006221294403076172e+00
1.307182591400016099e+04	5.990040491692314390e+03	2.056437492370605469e+00
1.330301804400002584e+04	6.068405976294838183e+03	2.084001541137695312e+00
1.333885441000014544e+04	5.922327848524761066e+03	2.260417222976684570e+00
1.334010457199998200e+04	5.960473838987334602e+03	2.506589889526367188e+00
1.336889458299987018e+04	6.020249720416402852e+03	2.215266227722167969e+00
1.374701027800003067e+04	5.968309836011889274e+03	2.167185068130493164e+00
1.511103549800021574e+04	6.014735970275913132e+03	3.412051439285278320e+00
1.544012813699990511e+04	6.033157914304043516e+03	2.189320087432861328e+00
1.552304341399995610e+04	6.108836324624367990e+03	2.472965002059936523e+00
1.599486752300010994e+04	5.939078883179274271e+03	3.816974163055419922e+00
1.616512660899991170e+04	6.098539830016859923e+03	2.222856998443603516e+00
1.658515415500011295e+04	6.241792001557492767e+03	2.293691396713256836e+00
1.658805866899993271e+04	6.264741321111359866e+03	2.226489067077636719e+00
1.663990262700011954e+04	6.046491265027317240e+03	2.686874389648437500e+00
1.690914974500006065e+04	6.197276025248153019e+03	2.266303300857543945e+00
1.729114800899988040e+04	6.102344715856670518e+03	2.332356691360473633e+00
1.729414707199996337e+04	6.081213650735924602e+03	2.257245063781738281e+00
1.765214472200023010e+04	6.267882528346352046e+03	2.239993095397949219e+00
1.776586233799997717e+04	5.936065939107946178e+03	2.334201097488403320e+00
1.802915508100017905e+04	6.068906286722063669e+03	2.870715141296386719e+00
