jd	rv	rverr
1.222010565999988467e+04	5.953670515139798226e+03	2.684281110763549805e+00
1.223596666700020432e+04	5.968959679490133567e+03	2.769896268844604492e+00
1.223790321800019592e+04	5.957314922617086268e+03	2.415894985198974609e+00
1.223890817099995911e+04	5.952762517634866526e+03	2.606233119964599609e+00
1.224300268500018865e+04	5.957816752142909536e+03	2.922262430191040039e+00
1.230785856499988586e+04	6.085459765065228567e+03	3.210491180419921875e+00
1.233481468700012192e+04	6.137173099511550390e+03	2.999455213546752930e+00
1.253613091399986297e+04	5.980835205931041855e+03	2.559720039367675781e+00
1.253709064800012857e+04	5.990499197125478531e+03	2.677297830581665039e+00
1.253804892400000244e+04	6.000152904549788218e+03	2.902777194976806641e+00
1.257306518500018865e+04	6.082673998453537934e+03	2.681522369384765625e+00
1.257400208299979568e+04	6.080594495680234104e+03	2.374617576599121094e+00
1.257500512700015679e+04	6.104113361687326687e+03	2.458645343780517578e+00
1.260100292799994349e+04	6.214825706923376856e+03	2.715485095977783203e+00
1.260204458299977705e+04	6.177917727229094453e+03	2.261022806167602539e+00
1.265187018499989063e+04	6.130560334492933180e+03	2.334925413131713867e+00
1.271175175900012255e+04	5.957728015481930925e+03	3.291390180587768555e+00
1.271280894700018689e+04	6.004513693954111659e+03	3.363729000091552734e+00
1.292504451399995014e+04	6.113933016972820042e+03	2.452715873718261719e+00
1.307182591400016099e+04	5.983893652493512491e+03	2.861351966857910156e+00
1.330301804400002584e+04	6.151266153954486072e+03	3.078675031661987305e+00
1.333885441000014544e+04	5.894997535628597689e+03	3.738610029220581055e+00
1.334010457199998200e+04	5.922172519666304652e+03	4.031416416168212891e+00
1.336889458299987018e+04	5.999677004339930136e+03	4.184885501861572266e+00
1.374701027800003067e+04	5.951240251146657101e+03	3.673522472381591797e+00
1.511103549800021574e+04	6.098276706427408499e+03	4.918329238891601562e+00
1.544012813699990511e+04	6.153765094211834366e+03	3.229613304138183594e+00
1.552304341399995610e+04	6.097435879247314006e+03	4.686415195465087891e+00
1.599486752300010994e+04	5.892794361901993398e+03	5.818469524383544922e+00
1.616512660899991170e+04	6.174982690102740889e+03	3.682933330535888672e+00
1.658515415500011295e+04	6.271644961555648479e+03	4.542605400085449219e+00
1.658805866899993271e+04	6.343801713858192670e+03	4.489514350891113281e+00
1.663990262700011954e+04	6.039242880833698109e+03	5.410720348358154297e+00
1.690914974500006065e+04	6.255725529567207559e+03	4.802485942840576172e+00
1.729114800899988040e+04	6.169120155314769363e+03	3.907845735549926758e+00
1.729414707199996337e+04	6.173651816657438758e+03	3.608972787857055664e+00
1.765214472200023010e+04	6.336254662727631512e+03	5.158146858215332031e+00
1.776586233799997717e+04	5.899147822202437965e+03	3.692802429199218750e+00
1.802915508100017905e+04	6.157858771650076960e+03	4.814160346984863281e+00
