jd	rv	rverr
1.222010565999988467e+04	5.962798069656259031e+03	2.375216484069824219e+00
1.223596666700020432e+04	5.959787408790714835e+03	2.480004549026489258e+00
1.223790321800019592e+04	5.960421061374749115e+03	2.172817707061767578e+00
1.223890817099995911e+04	5.972714115023667546e+03	2.135759592056274414e+00
1.224300268500018865e+04	5.955819247531020665e+03	2.442695140838623047e+00
1.230785856499988586e+04	6.076684486819387530e+03	2.547080755233764648e+00
1.233481468700012192e+04	6.149298819563409779e+03	2.412273883819580078e+00
1.253613091399986297e+04	5.986678847596616833e+03	2.138049840927124023e+00
1.253709064800012857e+04	5.981985672145732678e+03	2.368568181991577148e+00
1.253804892400000244e+04	5.999775543591167661e+03	2.282614469528198242e+00
1.257306518500018865e+04	6.084966520809088252e+03	2.237349033355712891e+00
1.257400208299979568e+04	6.085951712526315532e+03	2.122781753540039062e+00
1.257500512700015679e+04	6.104269323008375068e+03	2.044636964797973633e+00
1.260100292799994349e+04	6.227754682310565840e+03	2.294507980346679688e+00
1.260204458299977705e+04	6.190014000038518134e+03	1.924261689186096191e+00
1.265187018499989063e+04	6.144457251645369979e+03	2.120769500732421875e+00
1.271175175900012255e+04	5.965851091839751462e+03	2.840014696121215820e+00
1.271280894700018689e+04	6.009986518492718460e+03	2.549172878265380859e+00
1.292504451399995014e+04	6.109151657312148018e+03	2.056679248809814453e+00
1.307182591400016099e+04	5.994119480088964337e+03	2.176032304763793945e+00
1.330301804400002584e+04	6.038491940534593596e+03	2.155112266540527344e+00
1.333885441000014544e+04	5.939893673956965358e+03	2.460899114608764648e+00
1.334010457199998200e+04	5.964646894963987506e+03	2.729374647140502930e+00
1.336889458299987018e+04	6.031571639813628281e+03	2.655059576034545898e+00
1.374701027800003067e+04	5.982288551059980819e+03	2.389060735702514648e+00
1.511103549800021574e+04	6.008102706257617683e+03	3.476227521896362305e+00
1.544012813699990511e+04	6.024075075970540638e+03	2.303452253341674805e+00
1.552304341399995610e+04	6.130447873975655966e+03	2.898469924926757812e+00
1.599486752300010994e+04	5.945454756485909456e+03	4.292580127716064453e+00
1.616512660899991170e+04	6.059479698883806122e+03	2.694568872451782227e+00
1.658515415500011295e+04	6.218781708190508652e+03	2.580391168594360352e+00
1.658805866899993271e+04	6.242453030503354967e+03	2.382824420928955078e+00
1.663990262700011954e+04	6.067483331648846615e+03	2.777027845382690430e+00
1.690914974500006065e+04	6.173851289209851529e+03	2.505691051483154297e+00
1.729114800899988040e+04	6.095078881445311708e+03	2.478031635284423828e+00
1.729414707199996337e+04	6.062960722980220453e+03	2.333299398422241211e+00
1.765214472200023010e+04	6.231745308684694464e+03	2.637781143188476562e+00
1.776586233799997717e+04	5.967645380023721373e+03	2.550214767456054688e+00
1.802915508100017905e+04	6.044007007284759311e+03	3.180221080780029297e+00
